FilmID,Title,RunTimeMinutes,Genre
294,Ice Age: Continental Drift,88,Animation
295,The Twilight Saga: Breaking Dawn - Part 2,115,Awful
296,The Amazing Spider-Man,136,Action
297,Madagascar 3: Europe's Most Wanted,93,Animation
298,The Hunger Games,142,Science Fiction
299,Men in Black 3,106,Science Fiction
300,Harry Potter and the Deathly Hallows - Part 2,130,Fantasy
301,Transformers: Dark of the Moon,157,Science Fiction
302,Pirates of the Caribbean: On Stranger Tides,137,Adventure
303,The Twilight Saga: Breaking Dawn - Part 1,117,Awful
304,Mission: Impossible - Ghost Protocol,133,Thriller
305,Kung Fu Panda 2,90,Animation
306,Fast Five,130,Action
307,The Hangover Part II,102,Comedy
308,The Smurfs,103,Animation
309,Cars 2,106,Animation
310,Toy Story 3,103,Animation
311,Alice in Wonderland,108,Fantasy
312,Harry Potter and the Deathly Hallows - Part 1,146,Fantasy
313,Inception,148,Science Fiction
314,Shrek Forever After,93,Animation
315,The Twilight Saga: Eclipse,123,Awful
316,Iron Man 2,125,Action
317,Tangled,100,Animation
318,Despicable Me,95,Animation
319,How to Train Your Dragon,98,Animation
320,Avatar,161,Science Fiction
321,Harry Potter and the Half-Blood Prince,153,Fantasy
322,Ice Age: Dawn of the Dinosaurs,94,Animation
323,Transformers: Revenge of the Fallen,150,Science Fiction
324,2012,158,Disaster
325,Up,96,Animation
326,The Twilight Saga: New Moon,130,Awful
327,Sherlock Holmes,128,Mystery
328,Angels & Demons,138,Mystery
329,The Hangover,100,Comedy
330,The Dark Knight,152,Action
332,Kung Fu Panda,92,Animation
333,Hancock,92,Action
334,Mamma Mia!,109,Musical
335,Madagascar: Escape 2 Africa,89,Animation
336,Quantum of Solace,106,Thriller
337,Iron Man,126,Action
338,WALL-E,98,Animation
339,The Chronicles of Narnia: Prince Caspian,150,Fantasy
340,National Treasure: Book of Secrets,124,Adventure
341,Frost/Nixon,122,Drama
342,Ice Age: The Meltdown,91,Animation
343,Night at the Museum,108,Adventure
344,Cars,116,Animation
345,Happy Feet,108,Animation
346,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",145,Fantasy
347,Madagascar,86,Animation
348,Hitch,118,Romance
349,The Incredibles,115,Animation
350,Meet the Fockers,115,Comedy
351,Shark Tale,90,Animation
352,Finding Nemo,100,Animation
353,Terminator 3: Rise of the Machines,109,Science Fiction
354,Bad Boys II,147,Action
355,Signs,107,Mystery
356,Ice Age,81,Animation
357,My Big Fat Greek Wedding,95,Comedy
358,The Mummy Returns,130,Adventure
359,Jurassic Park III,92,Adventure
360,Hannibal,132,Thriller
361,What Women Want,127,Comedy
362,Dinosaur,82,Animation
363,How the Grinch Stole Christmas,104,Comedy
364,Meet the Parents,108,Comedy
365,What Lies Beneath,130,Horror
366,Toy Story 2,95,Animation
367,Tarzan,88,Animation
368,The Mummy,125,Adventure
369,Notting Hill,124,Romantic Comedy
370,Austin Powers: The Spy Who Shagged Me,96,Comedy
371,Godzilla,139,Science Fiction
372,There's Something About Mary,119,Comedy
373,A Bug's Life,95,Animation
374,Mulan,87,Animation
375,Dr. Dolittle,85,Comedy
376,Shakespeare in Love,123,Romantic Comedy
377,The Lost World: Jurassic Park,129,Adventure
378,Air Force One,124,Thriller
380,Liar Liar,88,Comedy
381,My Best Friend's Wedding,104,Romantic Comedy
382,The Full Monty,91,Comedy
383,Twister,113,Disaster
384,The Hunchback of Notre Dame,91,Animation
385,101 Dalmatians,103,Family
386,Ransom,121,Thriller
387,The Nutty Professor,95,Comedy
388,Jerry Maguire,139,Drama
389,Eraser,114,Action
390,Toy Story,81,Animation
391,Pocahontas,82,Animation
392,Batman Forever,122,Action
393,Casper,101,Comedy
394,Jumanji,104,Adventure
395,The Lion King,88,Animation
396,The Mask,101,Comedy
397,Speed,115,Action
398,The Flintstones,91,Comedy
399,Dumb and Dumber,107,Comedy
400,Donnie Brasco,126,Crime
401,Interview with the Vampire: The Vampire Chronicles,122,Horror
403,Mrs. Doubtfire,125,Comedy
404,The Firm,154,Thriller
405,Indecent Proposal,118,Drama
406,Sleepless in Seattle,105,Romance
407,Philadelphia,126,Drama
408,The Pelican Brief,141,Thriller
409,Aladdin,90,Animation
410,The Bodyguard,129,Thriller
411,Home Alone 2: Lost in New York,120,Family
412,Basic Instinct,128,Thriller
413,Batman Returns,126,Action
414,A Few Good Men,138,Drama
415,Sister Act,100,Comedy
416,Bram Stoker's Dracula,128,Horror
417,Wayne's World,95,Comedy
